wafer_idx,die,block,block_idx_in_die,structure,material,alias,pin_config,pol,force_current,meanV,meanI,hit_comp,block_row,block_column,event_counter,__pin_variation_object,__curr_variation_object
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,0.0005,5.864736306876154e-06,0.0004997199999999999,False,19,12,5,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,0.001,1.1587954376325336e-05,0.0009996599999999999,False,19,12,5,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,1e-05,3.6757983747265127e-07,9.950000000000001e-06,False,19,12,6,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,5e-05,3.679474173101232e-07,4.999e-05,False,19,12,6,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,0.0001,7.744907175548761e-07,0.00010001,False,19,12,6,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,0.0005,5.340567458640152e-06,0.00049973,False,19,12,6,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,0.001,1.1379536608478342e-05,0.00099968,False,19,12,6,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,1e-05,2.389268943572233e-07,9.96e-06,False,19,12,6,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,5e-05,3.231026771384592e-07,4.998e-05,False,19,12,6,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,0.0001,8.469039455369889e-07,9.999999999999999e-05,False,19,12,6,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,0.0005,5.7585057338465564e-06,0.0004997000000000001,False,19,12,6,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,0.001,1.1485399601670468e-05,0.0009996599999999999,False,19,12,6,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,1e-05,3.705204761724316e-07,9.93e-06,False,19,12,6,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,5e-05,4.043378212199164e-07,5.002e-05,False,19,12,6,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,0.0001,9.829084854018702e-07,9.999e-05,False,19,12,6,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,0.0005,5.334318601403117e-06,0.00049973,False,19,12,6,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,0.001,1.1302344842609086e-05,0.00099964,False,19,12,6,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,1e-05,3.5581728267352657e-07,9.950000000000001e-06,False,19,12,6,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,5e-05,4.168355356939849e-07,4.9999999999999996e-05,False,19,12,6,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,0.0001,1.317038557664512e-06,0.00010001,False,19,12,6,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,0.0005,5.782766003119753e-06,0.00049975,False,19,12,6,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,0.001,1.1313372237733267e-05,0.0009996599999999999,False,19,12,6,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,1e-05,-1.007168754675055e-07,9.93e-06,False,19,12,7,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,5e-05,2.786255168042705e-07,4.996e-05,False,19,12,7,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,0.0001,8.715317946476558e-07,0.00010001,False,19,12,7,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,0.0005,5.75593267498425e-06,0.00049974,False,19,12,7,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,0.001,1.0907196517325986e-05,0.00099964,False,19,12,7,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,1e-05,-7.351596749471999e-10,9.95e-06,False,19,12,7,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,5e-05,7.248674394960688e-07,4.996e-05,False,19,12,7,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,0.0001,1.0303262844358427e-06,0.0001,False,19,12,7,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,0.0005,5.754829935471831e-06,0.00049974,False,19,12,7,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,0.001,1.1055698771664936e-05,0.0009996599999999999,False,19,12,7,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,1e-05,2.128287258966655e-07,9.94e-06,False,19,12,7,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,5e-05,4.6756155326521296e-07,5.002e-05,False,19,12,7,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,0.0001,1.1067828906301532e-06,0.00010001,False,19,12,7,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,0.0005,5.5633208401485805e-06,0.0004997199999999999,False,19,12,7,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,0.001,1.117258915998124e-05,0.00099965,False,19,12,7,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,1e-05,1.1064153107926729e-07,9.94e-06,False,19,12,7,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,5e-05,5.730569666198634e-07,4.996e-05,False,19,12,7,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,0.0001,8.531528027740215e-07,9.999999999999999e-05,False,19,12,7,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,0.0005,5.528033175751204e-06,0.00049969,False,19,12,7,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,0.001,1.1591630174700062e-05,0.0009996800000000002,False,19,12,7,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,1e-05,1.8526023808621665e-07,9.96e-06,False,19,12,8,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,5e-05,-2.3892689435721316e-08,4.996e-05,False,19,12,8,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,0.0001,1.0509107553343117e-06,9.999999999999999e-05,False,19,12,8,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,0.0005,5.511492083064934e-06,0.0004997199999999999,False,19,12,8,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,0.001,1.1108630268260999e-05,0.00099963,False,19,12,8,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,1e-05,3.367031311249468e-07,9.93e-06,False,19,12,8,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,5e-05,3.0729674412713673e-07,4.999e-05,False,19,12,8,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,0.0001,1.053851394034092e-06,0.00010004999999999999,False,19,12,8,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,0.0005,5.663670135778615e-06,0.00049973,False,19,12,8,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,0.001,1.118067591640564e-05,0.00099964,False,19,12,8,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,1e-05,3.3082185372538614e-07,9.93e-06,False,19,12,8,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,5e-05,5.506345965340331e-07,4.998e-05,False,19,12,8,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,0.0001,1.3776892308474968e-06,0.00010001,False,19,12,8,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,0.0005,5.646026303579926e-06,0.0004997000000000001,False,19,12,8,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,0.001,1.1365936154491855e-05,0.00099968,False,19,12,8,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,1e-05,-1.3710727937729872e-07,9.93e-06,False,19,12,8,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,5e-05,6.774496404620947e-07,4.999e-05,False,19,12,8,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,0.0001,1.358942659136394e-06,9.999e-05,False,19,12,8,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,0.0005,5.610003479507605e-06,0.00049971,False,19,12,8,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,0.001,1.1357849398067456e-05,0.0009996599999999999,False,19,12,8,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,1e-05,5.403423610848028e-08,9.93e-06,False,19,12,9,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,5e-05,5.498994368590876e-07,4.999e-05,False,19,12,9,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,0.0001,8.902783663587619e-07,0.00010004,False,19,12,9,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,0.0005,5.770635868483155e-06,0.0004997199999999999,False,19,12,9,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,0.001,1.0858675978779595e-05,0.00099968,False,19,12,9,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,1e-05,3.8742914869617485e-07,9.96e-06,False,19,12,9,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,5e-05,6.675249848503363e-07,4.9999999999999996e-05,False,19,12,9,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,0.0001,1.1538331098266538e-06,9.999999999999999e-05,False,19,12,9,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,0.0005,5.533546873313294e-06,0.00049971,False,19,12,9,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,0.001,1.1482458962970686e-05,0.00099965,False,19,12,9,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,1e-05,3.4405472787440186e-07,9.93e-06,False,19,12,9,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,5e-05,3.929428462582636e-07,4.997e-05,False,19,12,9,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,0.0001,1.0126824522371556e-06,9.999e-05,False,19,12,9,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,0.0005,5.3920286358863234e-06,0.0004996899999999999,False,19,12,9,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,0.001,1.1069666805488897e-05,0.00099964,False,19,12,9,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,1e-05,1.7386526312456385e-07,9.93e-06,False,19,12,9,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,5e-05,5.362989828725983e-07,4.999e-05,False,19,12,9,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,0.0001,1.13141073974082e-06,9.999e-05,False,19,12,9,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,0.0005,5.768062809620846e-06,0.00049974,False,19,12,9,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,0.001,1.1270732976586438e-05,0.0009996599999999999,False,19,12,9,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,1e-05,1.3600453986489317e-08,9.93e-06,False,19,12,10,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,5e-05,3.0766432396460864e-07,4.997e-05,False,19,12,10,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,0.0001,1.0953879156685004e-06,0.00010001,False,19,12,10,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,0.0005,5.61073863918255e-06,0.0004997000000000001,False,19,12,10,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,0.001,1.1431365365561986e-05,0.00099963,False,19,12,10,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,1e-05,3.363355512874766e-07,9.950000000000001e-06,False,19,12,10,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,5e-05,7.366299942951936e-07,4.999e-05,False,19,12,10,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,0.0001,1.1325134792532409e-06,9.999e-05,False,19,12,10,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,0.0005,5.268889390332985e-06,0.0004997000000000001,False,19,12,10,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,0.001,1.139571012132714e-05,0.00099963,False,19,12,10,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,1e-05,2.5215976850623904e-07,9.95e-06,False,19,12,10,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,5e-05,4.1205699780684167e-07,4.997e-05,False,19,12,10,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,0.0001,9.637943338532922e-07,9.999e-05,False,19,12,10,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,0.0005,5.374384803687636e-06,0.00049971,False,19,12,10,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,0.001,1.1233974992839173e-05,0.00099963,False,19,12,10,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,1e-05,-8.233788359387294e-08,9.970000000000001e-06,False,19,12,10,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,5e-05,3.6757983747265466e-07,4.996e-05,False,19,12,10,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,0.0001,9.873194434515416e-07,9.997e-05,False,19,12,10,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,0.0005,5.695649581638732e-06,0.0004997199999999999,False,19,12,10,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,0.001,1.131521013692063e-05,0.00099964,False,19,12,10,structure,material
